a bit	một chút, một tí
chocolate	sô cô la
choice	sự lựa chọn
choose	chọn, lựa chọn
chop	chặt, đốn, chẻ
church	nhà thờ
chỉ huycomment	lời bình luận, lời chú giải; bình luận, phê bình, chú thích,
cigarette	điếu thuốc lá
circle	đường tròn, hình tròn
circumstance	hoàn cảnh, trường hợp, tình huống
citizen	người thành thị
city	thành phố
civil	công dân
claim	đòi hỏi, yêu sách; sự đòi hỏi, sự yêu sách, sự thỉnh cầu
clap	vỗ, vỗ tay; tiếng nổ, tiếng vỗ tay
class	lớp học
classic	cổ điển, kinh điển
classroom	lớp học, phòng học
clean	sạch, sạch sẽ;
clearly	rõ ràng, sáng sủa
clerk	thư ký, linh mục, mục sư
clever	lanh lợi, thông minh. tài giỏi, khéo léo
click	làm thành tiếng lách cách; tiếng lách cách, cú nhắp
client	khách hàng
climate	khí hậu, thời tiết
climb	leo, trèo
climbing	sự leo trèo
clock	đồng hồ
close	đóng kín, chật chội, che đậy
closed	bảo thủ, không cởi mở, khép kín
closely	chặt chẽ, kỹ lưỡng, tỉ mỉ
closet	buồng, phòng để đồ, phòng kho
cloth	vải, khăn trải bàn, áo thầy tu
clothes	quần áo
clothing	quần áo, y phục
cloud	mây, đám mây
club	câu lạc bộ; gậy, dùi cui
coach	huấn luyện viên
coal	than đá
coast	sự lao dốc; bờ biển
coat	áo choàng
code	mật mã, luật, điều lệ
coffee	cà phê
coin	tiền kim loại
cold	lạnh, sự lạnh lẽo, lạnh nhạt
coldly	lạnh nhạt, hờ hững, vô tâm
collapse	đổ, sụp đổ; sự đổ nát, sự sụp đổ
colleague	bạn đồng nghiệp
collect	sưu tập, tập trung lại
collection	sự sưu tập, sự tụ họp
college	trường cao đẳng, trường đại học
colour	màu sắc; tô màu
coloured	mang màu sắc, có màu sắc
column	cột , mục
combination	sự kết hợp, sự phối hợp
combine	kết hợp, phối hợp
come	đến, tới, đi đến, đi tới
comedy	hài kịch
comfort	sự an ủi, khuyên giải, lời động viên, sự an nhàn; dỗ dành, an
comfortable	thoải mái, tiện nghi, đầy đủ
comfortably	dễ chịu, thoải mái, tiện nghi, ấm cúng
command	ra lệnh, chỉ huy; lệnh, mệnh lệnh, quyền ra lệnh, quyền
commercial	buôn bán, thương mại
commission	hội đồng, ủy ban, sự ủy nhiệm, sự ủy thác; ủy nhiệm, ủy
commit	giao, gửi, ủy nhiệm, ủy thác; tống giam, bỏ tù
commitment	sự phạm tội, sự tận tụy, tận tâm
committee	ủy ban
common	công, công cộng, thông thường, phổ biến
commonly	thông thường, bình thường
communicate	truyền, truyền đạt; giao thiệp, liên lạc
communication	sự giao tiếp, liên lạc, sự truyền đạt, truyền tin
community	dân chúng, nhân dân
company	công ty
compare	so sánh, đối chiếu
comparison	sự so sánh
compete	đua tranh, ganh đua, cạnh tranh
competition	sự cạnh tranh, cuộc thi, cuộc thi đấu
competitive	cạnh tranh, đua tranh
complain	phàn nàn, kêu ca
complaint	lời than phiền, than thở; sự khiếu nại, đơn kiện
complete	hoàn thành, xong;
completely	hoàn thành, đầy đủ, trọn vẹn
complex	phức tạp, rắc rối
complicate	làm phức tạp, rắc rối
complicated	phức tạp, rắc rối
computer	máy tính
concentrate	tập trung
concentration	sự tập trung, nơi tập trung
concept	khái niệm
concern	liên quan, dính líu tới; sự liên quan, sự dính líu tới
concerned	có liên quan, có dính líu
concerning	bâng khuâng, ái ngại
concert	buổi hòa nhạc
conclude	kết luận, kết thúc, chấm dứt
conclusion	sự kết thúc, sự kết luận, phần kết luận
concrete	bằng bê tông; bê tông
condition	điều kiện, tình cảnh, tình thế
conduct	điều khiển, chỉ đạo, chỉ huy; sự điều khiển, chỉ
conference	hội nghị, sự bàn bạc
confidence	lòng tin tưởng, sự tin cậy
confident	tin tưởng, tin cậy, tự tin
confidently	tự tin
confine	giam giữ, hạn chế
confined	hạn chế, giới hạn
confirm	xác nhận, chứng thực
conflict	xung đột, va chạm; sự xung đột, sự va chạm
confront	đối mặt, đối diện, đối chiếu
confused	bối rối, lúng túng, ngượng
confusing	khó hiểu, gây bối rối
confusion	sự lộn xộn, sự rối loạn
congratulations	sự chúc mừng, khen ngợi; lời chúc mừng, khen
congress	đại hội, hội nghị, quốc hội
connect	kết nối, nối
connection	sự kết nối, sự giao kết
conscious	tỉnh táo, có ý thức, biết rõ
consequence	kết quả, hậu quả
conservative	thận trọng, dè dặt, bảo thủ
consider	cân nhắc, xem xét; để ý, quan tâm, lưu ý đến
considerable	lớn lao, to tát, đáng kể
considerably	đáng kể, lớn lao, nhiều
consideration	sự cân nhắc, sự xem xét, sự để ý, sự quan tâm
consist of	gồm có
constant	kiên trì, bền lòng
constantly	kiên định
construct	xây dựng
construction	sự xây dựng
consult	tra cứu, tham khảo, thăm dò, hỏi ý kiến
consumer	người tiêu dùng
contact	sự liên lạc, sự giao thiệp; tiếp xúc
contain	bao hàm, chứa đựng, bao gồm
container	cái đựng, chứa; công te nơ
contemporary	đương thời, đương đại
content	nội dung, sự hài lòng
contest	cuộc thi, trận đấu, cuộc tranh luận, cuộc chiến đấu, chiến tranh
context	văn cảnh, khung cảnh, phạm vi
continent	lục địa, đại lục
continue	tiếp tục, làm tiếp
continuous	liên tục, liên tiếp
continuously	liên tục, liên tiếp
contract	hợp đồng, sự ký hợp đồng; ký kết
contrast	sự tương phản; làm tương phản, làm trái
contrasting	tương phản
contribute	đóng góp, ghóp phần
contribution	sự đóng góp, sự góp phần
controlled	được điều khiển, được kiểm tra
convenient	tiện lợi, thuận lợi, thích hợp
convention	hội nghị, hiệp định, quy ước
conventional	quy ước
conversation	cuộc đàm thoại, cuộc trò chuyện
convert	đổi, biến đổi
convince	làm cho tin, thuyết phục; làm cho nhận thức thấy
cook	nấu ăn, người nấu ăn
cooker	lò, bếp, nồi nấu
cookie	bánh quy
cooking	sự nấu ăn, cách nấu ăn
cool	mát mẻ, điềm tĩnh; làm mát,
cope	đối phó, đương đầu
copy	bản sao, bản chép lại; sự sao chép; sao chép, bắt chước
core	nòng cốt, hạt nhân; đáy lòng
corner	góc
correct	đúng, chính xác; sửa, sửa chữa
correctly	đúng, chính xác
cost	giá, chi phí; trả giá, phải trả
cottage	nhà tranh
cotton	bông, chỉ, sợi
cough	ho, sự ho, tiếng hoa
coughing	ho
could	có thể, có khả năng
could modal	có thể
council	hội đồng
count	đếm, tính
counter	quầy hàng, quầy thu tiền, máy đếm
country	nước, quốc gia, đất nước
countryside	miền quê, miền nông thôn
county	hạt, tỉnh
couple	đôi, cặp; đôi vợ chồng, cặp nam nữ
courage	sự can đảm, sự dũng cảm, dũng khí
course	tiến trình, quá trình diễn tiến; sân chạy đua
court	sân, sân , tòa án, quan tòa, phiên tòa
cousin	anh em họ
cover	bao bọc, che phủ; vỏ, vỏ bọc
covered	có mái che, kín đáo
covering	sự bao bọc, sự che phủ, cái bao, bọc
cow	con bò cái
crack	cừ, xuất sắc; làm nứt, làm vỡ, nứt nẻ, rạn nứt
cracked	rạn, nứt
craft	nghề, nghề thủ công
crash	vải thô; sự rơi , sự phá sản, sụp đổ; phá tan tành, phá vụn
crazy	điên, mất trí
cream	kem
create	sáng tạo, tạo nên
creature	sinh vật, loài vật
credit	sự tin, lòng tin, danh tiếng; tiền gửi ngân hàng
credit card	thẻ tín dụng
crime	tội, tội ác, tội phạm
criminal	có tội, phạm tội; kẻ phạm tội, tội phạm
crisis	sự khủng hoảng, cơn khủng hoảng
crisp	giòn
criterion	tiêu chuẩn
critical	phê bình, phê phán; khó tính
criticism	sự phê bình, sự phê phán, lời phê bình, lời phê phán
criticize	phê bình, phê phán, chỉ trích
crop	vụ mùa
cross	cây thánh giá, nỗi thống khổ; sự băng qua; băng qua, vượt qua
crowd	đám đông
crowded	đông đúc
crown	vương miện, vua, ngai vàng; đỉnh cao nhất
crucial	quyết định, cốt yếu, chủ yếu
cruel	độc ác, dữ tợn, tàn nhẫn
crush	ép, vắt, đè nát, đè bẹp
cry	khóc, kêu la; sự khóc, tiếng khóc, sự kêu la
cultural	văn hóa
culture	văn hóa, sự mở mang, sự giáo dục
cup	tách, chén
cupboard	1 loại tủ có ngăn
curb	kiềm chế, nén lại, hạn chế
cure	chữa trị, điều trị; cách chữa bệnh, cách điều trị; thuốc
curious	ham muốn, tò mò, lạ lùng
curiously	tò mò, hiếu kỳ, lạ kỳ
curl	quăn, xoắn, uốn quăn, làm xoắn; sự uốn quăn
curly	quăn, xoắn
current	hiện hành, phổ biến, hiện nay; dòng
currently	hiện thời, hiện nay
curtain	màn
curve	đường cong, đường vòng; cong, uốn cong, bẻ cong
curved	cong
custom	phong tục, tục lệ, thói quen, tập quán
customer	khách hàng
customs	thuế nhập khẩu, hải quan
cut	cắt, chặt; sự cắt
cycle	chu kỳ, chu trình, vòng; quay vòng theo chu kỳ, đi xe đạp
cycling	sự đi xe đạp
dad	bố, cha
daily	hàng ngày
damage	mối hạn, điều hại, sự thiệt hại; làm hư hại, làm hỏng, gây thiệt hại
damp	ẩm, ẩm ướt, ẩm thấp
dance	sự nhảy múa, sự khiêu vũ; nhảy múa, khiêu vũ
dancer	diễn viên múa, người nhảy múa
dancing	sự nhảy múa, sự khiêu vũ
danger	sự nguy hiểm, mối hiểm nghèo; nguy cơ, mối đe dọa
dangerous	nguy hiểm
dare	dám, dám đương đầu với; thách
dark	tối, tối tăm; bóng tối, ám muội
data	số liệu, dữ liệu
date	ngày, kỳ, kỳ hạn, thời kỳ, thời đại; đề ngày tháng, ghi niên hiệu
daughter	con gái
day	ngày, ban ngày
dead	chết, tắt
deaf	điếc, làm thinh, làm ngơ
deal	phân phát, phân phối; sự giao dịch, thỏa thuận mua bán
deal with	giải quyết
dear	thân, thân yêu, thân mến; kính thưa, thưa
death	sự chết, cái chết
debate	cuộc tranh luận, cuộc tranh cãi; tranh luận, bàn cãi
debt	nợ
decade	thập kỷ, bộ mười, nhóm mười
decay	tình trạng suy tàn, suy sụp, tình trạng đổ nát
december	tháng mười hai, tháng chạp
decide	quyết định, giải quyết, phân xử
decision	sự quyết định, sự giải quyết, sự phân xử
declare	tuyên bố, công bố
decline	sự suy tàn, sự suy sụp; suy sụp, suy tàn
decorate	trang hoàng, trang trí
decoration	sự trang hoàng, đồ trang hoàng, trang trí
decorative	để trang hoàng, để trang trí, để làm cảnh
decrease	giảm bớt, làm suy giảm, sự giảm đi, sự giảm sút
deep	sâu, khó lường, bí ẩn
deeply	sâu, sâu xa, sâu sắc
defeat	đánh thắng, đánh bại; sự thất bại
defence	cái để bảo vệ, vật để chống đỡ, sự che chở
defend	che chở, bảo vệ, bào chữa
